year,month,temp
1952.0,1.0,-1.4009661835748783
1952.0,2.0,-4.0
1952.0,3.0,-10.106837606837606
1952.0,4.0,4.226190476190474
1952.0,5.0,7.037037037037035
1952.0,6.0,13.611111111111112
1952.0,7.0,16.23015873015873
1952.0,8.0,14.157706093189965
1952.0,9.0,8.461538461538462
1952.0,10.0,2.1626984126984143
1952.0,11.0,-2.3809523809523805
1952.0,12.0,-2.9111111111111097
1953.0,1.0,-5.396825396825396
1953.0,2.0,-8.662551440329217
1953.0,3.0,-0.4830917874396138
1953.0,4.0,4.423868312757201
1953.0,5.0,9.265232974910399
1953.0,6.0,17.037037037037035
1953.0,7.0,17.066666666666666
1953.0,8.0,15.114942528735629
1953.0,9.0,9.650205761316874
1953.0,10.0,7.222222222222222
1953.0,11.0,1.408730158730158
1953.0,12.0,-1.290322580645162
1954.0,1.0,-7.072649572649572
1954.0,2.0,-11.527777777777777
1954.0,3.0,-1.269841269841269
1954.0,4.0,1.4120370370370356
1954.0,5.0,11.455938697318008
1954.0,6.0,13.910256410256409
1954.0,7.0,16.92460317460317
1954.0,8.0,15.153256704980842
1954.0,9.0,11.303418803418802
1954.0,10.0,5.151515151515151
1954.0,11.0,0.06666666666666525
1954.0,12.0,-0.07936507936507907
1955.0,1.0,-5.473251028806584
1955.0,2.0,-8.26388888888889
1955.0,3.0,-5.74074074074074
1955.0,4.0,-1.0386473429951693
1955.0,5.0,6.091954022988504
1955.0,6.0,12.457264957264957
1955.0,7.0,17.93333333333333
1955.0,8.0,17.921810699588473
1955.0,9.0,13.078703703703702
1955.0,10.0,5.8641975308642
1955.0,11.0,-1.13425925925926
1955.0,12.0,-11.09126984126984
1956.0,1.0,-8.133333333333331
1956.0,2.0,-14.550264550264547
1956.0,3.0,-4.3869731800766285
1956.0,4.0,-0.3769841269841261
1956.0,5.0,8.64814814814815
1956.0,6.0,15.724637681159418
1956.0,7.0,15.416666666666666
1956.0,8.0,12.638888888888888
1956.0,9.0,8.452380952380953
1956.0,10.0,4.462365591397849
1956.0,11.0,-4.565217391304347
1956.0,12.0,-2.4521072796934873
1957.0,1.0,-2.4404761904761902
1957.0,2.0,-3.5185185185185177
1957.0,3.0,-7.28888888888889
1957.0,4.0,1.6388888888888904
1957.0,5.0,8.27485380116959
1957.0,6.0,12.407407407407408
1957.0,7.0,17.83333333333333
1957.0,8.0,15.358422939068102
1957.0,9.0,9.37037037037037
1957.0,10.0,5.651340996168581
1957.0,11.0,0.8237547892720323
1957.0,12.0,-2.0250896057347663
1958.0,1.0,-8.315412186379929
1958.0,2.0,-9.464285714285712
1958.0,3.0,-7.580645161290321
1958.0,4.0,1.0185185185185197
1958.0,5.0,8.225806451612902
1958.0,6.0,13.388888888888888
1958.0,7.0,15.340501792114692
1958.0,8.0,14.516129032258064
1958.0,9.0,10.407407407407408
1958.0,10.0,6.111111111111112
1958.0,11.0,3.185185185185185
1958.0,12.0,-6.61290322580645
1959.0,1.0,-5.148148148148148
1959.0,2.0,-2.361111111111111
1959.0,3.0,0.322580645161289
1959.0,4.0,3.870370370370371
1959.0,5.0,9.695340501792115
1959.0,6.0,15.074074074074074
1959.0,7.0,17.83154121863799
1959.0,8.0,16.965811965811966
1959.0,9.0,8.812260536398465
1959.0,10.0,4.767025089605734
1959.0,11.0,1.4074074074074063
1959.0,12.0,-5.148148148148148
1960.0,1.0,-10.229885057471265
1960.0,2.0,-8.9272030651341
1960.0,3.0,-4.587813620071684
1960.0,4.0,1.8518518518518527
1960.0,5.0,10.981481481481481
1960.0,6.0,16.277777777777775
1960.0,7.0,18.06513409961686
1960.0,8.0,15.107526881720428
1960.0,9.0,10.111111111111112
1960.0,10.0,3.27956989247312
1960.0,11.0,-0.6851851851851857
1960.0,12.0,-0.322580645161291
1961.0,1.0,-3.648148148148148
1961.0,2.0,-0.3571428571428569
1961.0,3.0,0.358422939068102
1961.0,4.0,2.62962962962963
1961.0,5.0,9.892473118279568
1961.0,6.0,17.0
1961.0,7.0,15.86021505376344
1961.0,8.0,14.175627240143369
1961.0,9.0,9.722222222222221
1961.0,10.0,8.655913978494622
1961.0,11.0,1.7222222222222228
1961.0,12.0,-5.07168458781362
1962.0,1.0,-3.655913978494624
1962.0,2.0,-5.198412698412699
1962.0,3.0,-7.491039426523297
1962.0,4.0,3.777777777777776
1962.0,5.0,8.584229390681005
1962.0,6.0,12.037037037037033
1962.0,7.0,14.623655913978492
1962.0,8.0,13.028673835125447
1962.0,9.0,9.37037037037037
1962.0,10.0,6.792114695340503
1962.0,11.0,1.5000000000000016
1962.0,12.0,-6.810035842293906
1963.0,1.0,-9.892473118279568
1963.0,2.0,-10.833333333333332
1963.0,3.0,-8.727598566308243
1963.0,4.0,2.8148148148148167
1963.0,5.0,13.207885304659497
1963.0,6.0,14.82758620689655
1963.0,7.0,16.881720430107528
1963.0,8.0,16.344086021505376
1963.0,9.0,12.629629629629628
1963.0,10.0,6.021505376344085
1963.0,11.0,-0.1851851851851845
1963.0,12.0,-4.13978494623656
1973.0,1.0,-1.9713261648745513
1973.0,2.0,-4.583333333333333
1973.0,3.0,-1.218637992831542
1973.0,4.0,2.6666666666666647
1973.0,5.0,10.161290322580642
1973.0,6.0,16.74074074074074
1973.0,7.0,19.731182795698924
1973.0,8.0,14.910394265232974
1973.0,9.0,6.9074074074074066
1973.0,10.0,2.2401433691756267
1973.0,11.0,-3.037037037037036
1973.0,12.0,-6.559139784946235
1974.0,1.0,-2.9211469534050174
1974.0,2.0,-0.515873015873015
1974.0,3.0,-1.1648745519713264
1974.0,4.0,2.6666666666666647
1974.0,5.0,7.132616487455196
1974.0,6.0,14.351851851851857
1974.0,7.0,15.698924731182796
1974.0,8.0,14.677419354838706
1974.0,9.0,12.222222222222221
1974.0,10.0,5.681003584229392
1974.0,11.0,2.203703703703705
1974.0,12.0,0.7347670250896045
1975.0,1.0,-1.3799283154121866
1975.0,2.0,-2.9563492063492074
1975.0,3.0,-0.35842293906809997
1975.0,4.0,3.3333333333333326
1975.0,5.0,11.888888888888888
1975.0,6.0,13.66666666666667
1975.0,7.0,17.706093189964154
1975.0,8.0,16.36200716845878
1975.0,9.0,12.870370370370368
1975.0,10.0,4.820788530465952
1975.0,11.0,1.1666666666666672
1975.0,12.0,-1.863799283154122
1976.0,1.0,-9.946236559139782
1976.0,2.0,-7.107279693486589
