,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
174,ACCOUNTANT IV,FINANCE,F,Salary,,105108.0,
175,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,50412.0,
176,ENVIRONMENTAL ENGINEER III,HEALTH,F,Salary,,114780.0,
177,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
178,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
179,CIVIL ENGINEER III,TRANSPORTN,F,Salary,,105108.0,
180,ACCOUNTING TECHNICIAN I,FINANCE,F,Salary,,40020.0,
181,PUBLIC HEALTH ADMINISTRATOR I,HEALTH,F,Salary,,80232.0,
182,POLICE COMMUNICATIONS OPERATOR I,OEMC,F,Salary,,81156.0,
183,POLICE OFFICER,POLICE,F,Salary,,96060.0,
184,SUPERVISING FIRE COMMUNICATIONS OPERATOR,OEMC,F,Salary,,118352.04,
185,LIBRARIAN I,PUBLIC LIBRARY,F,Salary,,54564.0,
186,SERGEANT,POLICE,F,Salary,,101442.0,
187,ADMINISTRATIVE ASST III,BUSINESS AFFAIRS,F,Salary,,80232.0,
188,POLICE OFFICER,POLICE,F,Salary,,96060.0,
189,FIRE ENGINEER-EMT,FIRE,F,Salary,,107106.0,
190,SERGEANT,POLICE,F,Salary,,111474.0,
191,ASST CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,F,Salary,,127536.0,
192,PARAMEDIC,FIRE,F,Salary,,68616.0,
193,POLICE OFFICER,POLICE,F,Salary,,93354.0,
194,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,P,Hourly,20.0,,8.25
195,DEPUTY COMMISSIONER,WATER MGMNT,F,Salary,,132972.0,
196,POLICE OFFICER,POLICE,F,Salary,,87006.0,
197,POLICE OFFICER,POLICE,F,Salary,,96060.0,
198,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
199,SERGEANT,POLICE,F,Salary,,101442.0,
