,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
456,DEPUTY COMMISSIONER,BUSINESS AFFAIRS,F,Salary,,110052.0,
457,FIRE ENGINEER-EMT,FIRE,F,Salary,,110214.0,
458,CEMENT FINISHER,TRANSPORTN,F,Hourly,40.0,,45.25
459,OPERATING ENGINEER-GROUP A,WATER MGMNT,F,Hourly,40.0,,50.71
460,AMBULANCE COMMANDER,FIRE,F,Salary,,121452.0,
461,WARRANT AND EXTRADITION AIDE,POLICE,F,Salary,,73104.0,
462,EXPLOSIVES TECHNICIAN I,POLICE,F,Salary,,111252.0,
463,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
464,DISABILITY SPECIALIST II,DISABILITIES,F,Salary,,88152.0,
465,FIRE ENGINEER-EMT,FIRE,F,Salary,,107106.0,
466,SUPERVISING WATCHMAN,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,27.45
467,SERGEANT,POLICE,F,Salary,,111474.0,
468,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,94524.0,
469,POLICE COMMUNICATIONS OPERATOR I,OEMC,F,Salary,,55260.0,
470,PARAMEDIC,FIRE,F,Salary,,68616.0,
471,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
472,POLICE OFFICER,POLICE,F,Salary,,80016.0,
473,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
474,POLICE ADMINISTRATIVE CLERK,POLICE,F,Salary,,43428.0,
475,POLICE OFFICER,POLICE,F,Salary,,96060.0,
476,POLICE OFFICER,POLICE,F,Salary,,96060.0,
477,SERGEANT,POLICE,F,Salary,,107988.0,
478,ALDERMANIC AIDE,CITY COUNCIL,P,Hourly,20.0,,18.15
479,SERGEANT,POLICE,F,Salary,,104628.0,
480,SERGEANT,POLICE,F,Salary,,111474.0,
481,STAFF ASST,FINANCE,F,Salary,,96564.0,
482,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
483,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
484,POLICE OFFICER,POLICE,F,Salary,,96060.0,
485,ACCOUNTANT IV,FINANCE,F,Salary,,105108.0,
486,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
487,ADMINISTRATIVE ASST II,AVIATION,F,Salary,,66612.0,
488,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,13.94
489,CROSSING GUARD,OEMC,P,Hourly,20.0,,22.36
490,POLICE OFFICER,POLICE,F,Salary,,68616.0,
491,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
492,PARAMEDIC I/C,FIRE,F,Salary,,94122.0,
493,DIR OF ADMINISTRATIVE SERVICES,COPA,F,Salary,,82476.0,
494,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
495,PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,F,Salary,,40020.0,
496,CROSSING GUARD,OEMC,P,Hourly,20.0,,19.38
497,LIBRARY ASSOCIATE,PUBLIC LIBRARY,F,Salary,,47040.0,
498,BRIDGE OPERATOR,TRANSPORTN,F,Salary,,73068.0,
499,POLICE OFFICER,POLICE,F,Salary,,90024.0,
500,POLICE OFFICER,POLICE,F,Salary,,96060.0,
501,POLICE OFFICER,POLICE,F,Salary,,90024.0,
502,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
503,MOTOR TRUCK DRIVER,WATER MGMNT,F,Hourly,40.0,,36.45
504,LIBRARY CLERK,PUBLIC LIBRARY,F,Salary,,50388.0,
505,AIRPORT MAINTENANCE FOREMAN,AVIATION,F,Hourly,40.0,,38.09
506,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
507,ADMINISTRATIVE ASST II,BUILDINGS,F,Salary,,73104.0,
508,POLICE OFFICER,POLICE,F,Salary,,87006.0,
509,POLICE OFFICER,POLICE,F,Salary,,48078.0,
510,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
511,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
512,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,F,Salary,,70644.0,
513,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
514,ASST DEPUTY CHIEF PARAMEDIC,FIRE,F,Salary,,162240.0,
515,SERGEANT,POLICE,F,Salary,,111474.0,
516,ADMINISTRATIVE ASST III,PUBLIC LIBRARY,F,Salary,,88044.0,
517,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,25.19
518,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
519,POLICE OFFICER,POLICE,F,Salary,,76266.0,
520,LIEUTENANT-EMT,FIRE,F,Salary,,117996.0,
521,ASST TO THE ALDERMAN,CITY COUNCIL,F,Salary,,82440.0,
522,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,F,Salary,,64392.0,
523,OPERATING ENGINEER-GROUP A,WATER MGMNT,F,Hourly,40.0,,50.71
524,LIEUTENANT-EMT,FIRE,F,Salary,,117996.0,
525,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
526,POLICE OFFICER,POLICE,F,Salary,,84054.0,
527,POLICE OFFICER,POLICE,F,Salary,,87006.0,
528,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,64392.0,
529,HOISTING ENGINEER,WATER MGMNT,F,Hourly,40.0,,51.1
530,POLICE OFFICER,POLICE,F,Salary,,90024.0,
531,DETENTION AIDE,POLICE,F,Salary,,48072.0,
532,AUDITOR II,FINANCE,F,Salary,,96360.0,
533,POLICE OFFICER,POLICE,F,Salary,,96060.0,
534,SUPERVISING CLERK,FINANCE,F,Salary,,88044.0,
535,POLICE OFFICER,POLICE,F,Salary,,48078.0,
536,POLICE OFFICER,POLICE,F,Salary,,48078.0,
537,ADMINISTRATIVE ASST III,OEMC,F,Salary,,80232.0,
538,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,F,Salary,,105948.0,
539,POLICE OFFICER,POLICE,F,Salary,,90024.0,
540,POLICE OFFICER,POLICE,F,Salary,,93354.0,
541,POLICE OFFICER,POLICE,F,Salary,,80016.0,
542,PAYROLL ADMINISTRATOR,FINANCE,F,Salary,,110436.0,
543,FILTRATION ENGINEER II,WATER MGMNT,F,Salary,,68256.0,
544,POLICE OFFICER,POLICE,F,Salary,,84054.0,
545,LIEUTENANT,FIRE,F,Salary,,114846.0,
546,ADMINISTRATIVE ASST III - EXCLUDED,PLANNING AND DEVELOPMENT,F,Salary,,46776.0,
547,SERGEANT,POLICE,F,Salary,,104628.0,
548,POLICE OFFICER,POLICE,F,Salary,,90024.0,
549,CIVIL ENGINEER III,WATER MGMNT,F,Salary,,73104.0,
550,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,91080.0,
551,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,Salary,,100980.0,
552,POLICE OFFICER,POLICE,F,Salary,,48078.0,
553,POLICE OFFICER,POLICE,F,Salary,,68616.0,
554,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,F,Salary,,87132.0,
555,POLICE OFFICER,POLICE,F,Salary,,72510.0,
556,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
557,SERGEANT,POLICE,F,Salary,,104628.0,
558,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
559,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
560,PARAMEDIC,FIRE,F,Salary,,84054.0,
561,SERGEANT,POLICE,F,Salary,,111474.0,
562,PAINTER,WATER MGMNT,F,Hourly,40.0,,46.55
563,COORDINATING PLANNER,TRANSPORTN,F,Salary,,99624.0,
564,LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,P,Hourly,20.0,,16.87
565,SERGEANT,POLICE,F,Salary,,101442.0,
566,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,100980.0,
567,COORD OF SPECIAL PROJECTS,BUSINESS AFFAIRS,F,Salary,,96096.0,
568,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,F,Salary,,127536.0,
569,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
570,ACCOUNTANT IV,FINANCE,F,Salary,,73104.0,
571,ADMINISTRATIVE ASST II,FAMILY & SUPPORT,F,Salary,,73104.0,
572,TESTING SPECIALIST,HUMAN RESOURCES,F,Salary,,75408.0,
573,ADMINISTRATIVE ASST II,LAW,F,Salary,,63600.0,
574,STAFF ASST,FAMILY & SUPPORT,F,Salary,,96564.0,
575,SERGEANT,POLICE,F,Salary,,104628.0,
576,POLICE OFFICER,POLICE,F,Salary,,80016.0,
577,POLICE OFFICER,POLICE,F,Salary,,87006.0,
578,POLICE OFFICER,POLICE,F,Salary,,87006.0,
579,POLICE OFFICER,POLICE,F,Salary,,84054.0,
580,CENTRAL VOUCHER COORDINATOR,FINANCE,F,Salary,,42120.0,
581,POLICE OFFICER,POLICE,F,Salary,,72510.0,
582,POLICE OFFICER,POLICE,F,Salary,,76266.0,
583,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
584,DEPUTY DISTRICT CHIEF,FIRE,F,Salary,,162240.0,
585,POLICE OFFICER,POLICE,F,Salary,,48078.0,
586,POLICE OFFICER,POLICE,F,Salary,,72510.0,
587,POLICE OFFICER,POLICE,F,Salary,,87006.0,
588,ALDERMANIC AIDE,CITY COUNCIL,P,Hourly,20.0,,13.0
589,ENGINEERING TECHNICIAN VI,TRANSPORTN,F,Salary,,88044.0,
590,ASST DISTRICT SUPERINTENDENT,WATER MGMNT,F,Salary,,112839.96,
591,MOTOR TRUCK DRIVER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,36.45
592,POLICE OFFICER,POLICE,F,Salary,,93354.0,
593,POLICE OFFICER,POLICE,F,Salary,,72510.0,
594,POLICE OFFICER,POLICE,F,Salary,,87006.0,
595,POLICE OFFICER,POLICE,F,Salary,,76266.0,
596,SERGEANT,POLICE,F,Salary,,104628.0,
597,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,39.98
598,POLICE OFFICER,POLICE,F,Salary,,90024.0,
599,POLICE OFFICER,POLICE,F,Salary,,48078.0,
600,POLICE OFFICER,POLICE,F,Salary,,48078.0,
601,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,91338.0,
602,SHIFT SUPVSR OF AIRPORT GROUND TRANSPORTATION,AVIATION,F,Salary,,48960.0,
603,PARAMEDIC I/C,FIRE,F,Salary,,86748.0,
604,POLICE OFFICER,POLICE,F,Salary,,87006.0,
605,POLICE OFFICER,POLICE,F,Salary,,72510.0,
606,PARKING INVESTIGATOR,FINANCE,F,Salary,,79812.0,
607,POLICE OFFICER,POLICE,F,Salary,,48078.0,
608,POLICE OFFICER,POLICE,F,Salary,,68616.0,
609,SERGEANT,POLICE,F,Salary,,107988.0,
610,POLICE OFFICER,POLICE,F,Salary,,87006.0,
611,WEB AUTHOR,CITY CLERK,F,Salary,,79428.0,
612,LIBRARIAN III,PUBLIC LIBRARY,F,Salary,,75360.0,
613,PARAMEDIC,FIRE,F,Salary,,97386.0,
614,POLICE OFFICER,POLICE,F,Salary,,84054.0,
615,POLICE OFFICER,POLICE,F,Salary,,84054.0,
616,PARAMEDIC,FIRE,F,Salary,,68616.0,
617,ENGINEERING TECHNICIAN IV,TRANSPORTN,F,Salary,,65940.0,
618,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,100980.0,
619,POLICE OFFICER,POLICE,F,Salary,,84054.0,
620,POLICE OFFICER,POLICE,F,Salary,,48078.0,
621,POLICE OFFICER,POLICE,F,Salary,,84054.0,
622,SERGEANT,POLICE,F,Salary,,104628.0,
623,POLICE OFFICER,POLICE,F,Salary,,80016.0,
624,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
625,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,Salary,,94524.0,
626,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
627,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
628,POLICE OFFICER,POLICE,F,Salary,,84054.0,
629,SIGN HANGER,TRANSPORTN,F,Hourly,40.0,,33.63
630,LIEUTENANT-EMT,FIRE,F,Salary,,117996.0,
631,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
632,POLICE OFFICER,POLICE,F,Salary,,84054.0,
633,WATER RATE TAKER,WATER MGMNT,F,Salary,,60108.0,
634,POOL MOTOR TRUCK DRIVER,STREETS & SAN,P,Hourly,10.0,,36.45
635,POLICE OFFICER,POLICE,F,Salary,,48078.0,
636,POLICE OFFICER,POLICE,F,Salary,,48078.0,
637,POLICE OFFICER,POLICE,F,Salary,,84054.0,
638,FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,,82812.0,
639,POLICE OFFICER,POLICE,F,Salary,,76266.0,
640,CHIEF CONTRACT EXPEDITER,WATER MGMNT,F,Salary,,116280.0,
641,ADMINISTRATIVE ASST II,AVIATION,F,Salary,,57924.0,
642,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
643,POOL MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
644,POLICE OFFICER,POLICE,F,Salary,,68616.0,
645,SERGEANT,POLICE,F,Salary,,111474.0,
646,POLICE OFFICER,POLICE,F,Salary,,84054.0,
647,SERGEANT,POLICE,F,Salary,,104628.0,
648,PERFORMANCE ANALYST,INSPECTOR GEN,F,Salary,,70140.0,
649,SERGEANT,POLICE,F,Salary,,111474.0,
650,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,91338.0,
651,PARAMEDIC FIELD CHIEF,FIRE,F,Salary,,140970.0,
652,POLICE OFFICER,POLICE,F,Salary,,48078.0,
653,POLICE OFFICER,POLICE,F,Salary,,68616.0,
654,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,76266.0,
655,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,F,Salary,,101148.0,
656,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
657,POLICE OFFICER,POLICE,F,Salary,,68616.0,
658,POLICE OFFICER,POLICE,F,Salary,,80016.0,
659,POLICE OFFICER,POLICE,F,Salary,,68616.0,
660,POLICE OFFICER,POLICE,F,Salary,,68616.0,
661,ASST TO THE COMMISSIONER,PROCUREMENT,F,Salary,,63852.0,
662,POLICE OFFICER,POLICE,F,Salary,,68616.0,
663,POLICE OFFICER,POLICE,F,Salary,,76266.0,
664,POLICE OFFICER,POLICE,F,Salary,,80016.0,
665,MOTOR TRUCK DRIVER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,36.45
666,POLICE OFFICER,POLICE,F,Salary,,93354.0,
667,PUBLIC HEALTH ADMINISTRATOR II,HEALTH,F,Salary,,92136.0,
668,DIR OF FACILITIES MANAGEMENT,POLICE,F,Salary,,114528.0,
669,POLICE OFFICER,POLICE,F,Salary,,93354.0,
670,LEGISLATIVE AIDE,FINANCE,F,Salary,,29208.0,
671,POLICE OFFICER,POLICE,F,Salary,,48078.0,
672,CLERK - BD OF ELECTIONS,BOARD OF ELECTION,F,Salary,,31584.0,
673,PERSONAL COMPUTER OPERATOR II,WATER MGMNT,F,Salary,,66612.0,
674,MOTOR TRUCK DRIVER,TRANSPORTN,F,Hourly,40.0,,36.45
675,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,F,Salary,,98052.0,
676,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,97440.0,
677,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
678,FIREFIGHTER-EMT (RECRUIT),FIRE,F,Salary,,56304.0,
679,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,94122.0,
680,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
681,FIREFIGHTER-EMT,FIRE,F,Salary,,84870.0,
682,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
683,DIR OF INFORMATION SYSTEMS,DoIT,F,Salary,,122496.0,
684,POLICE OFFICER,POLICE,F,Salary,,72510.0,
685,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,F,Salary,,112854.0,
686,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
687,ASST CHIEF AIRPORT OPERATIONS SUPVSR,AVIATION,F,Salary,,116244.0,
688,FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,,78738.0,
689,FRM OF ELECTRICAL MECHANICS (AUTO),FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,51.35
690,DEPUTY MANAGING EDITOR COUNCIL JOURNAL,CITY CLERK,F,Salary,,110436.0,
691,OPERATING ENGINEER-GROUP A,WATER MGMNT,F,Hourly,40.0,,50.71
692,POLICE OFFICER,POLICE,F,Salary,,93354.0,
693,POLICE OFFICER,POLICE,F,Salary,,87006.0,
694,SERGEANT,POLICE,F,Salary,,104628.0,
695,MOTOR TRUCK DRIVER,WATER MGMNT,F,Hourly,40.0,,36.45
696,FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE,F,Salary,,107106.0,
697,ASST CORPORATION COUNSEL SUPVSR,LAW,F,Salary,,130020.0,
698,POLICE OFFICER,POLICE,F,Salary,,80016.0,
699,POLICE OFFICER,POLICE,F,Salary,,90024.0,
700,POLICE OFFICER,POLICE,F,Salary,,93354.0,
701,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,F,Salary,,101148.0,
702,PARKING ENFORCEMENT AIDE,FINANCE,F,Salary,,58644.0,
703,PARKING INVESTIGATOR,FINANCE,F,Salary,,70608.0,
704,POLICE OFFICER,POLICE,F,Salary,,72510.0,
705,POLICE OFFICER,POLICE,F,Salary,,90024.0,
706,DETENTION AIDE,POLICE,F,Salary,,70644.0,
707,CLERK III,HEALTH,F,Salary,,60744.0,
708,POLICE OFFICER,POLICE,F,Salary,,84054.0,
709,PARAMEDIC I/C,FIRE,F,Salary,,78792.0,
710,POLICE OFFICER (ASSIGNED AS CANINE HANDLER),POLICE,F,Salary,,91338.0,
711,ADMINISTRATIVE SERVICES OFFICER II,POLICE,F,Salary,,116280.0,
712,MACHINIST (AUTOMOTIVE),FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,48.38
713,TREE TRIMMER,STREETS & SAN,F,Hourly,40.0,,38.86
714,FILTRATION ENGINEER V,WATER MGMNT,F,Salary,,118764.0,
715,POLICE COMMUNICATIONS OPERATOR I,OEMC,F,Salary,,55260.0,
716,POLICE OFFICER,POLICE,F,Salary,,72510.0,
717,POLICE OFFICER,POLICE,F,Salary,,84054.0,
718,POLICE OFFICER,POLICE,F,Salary,,68616.0,
719,AIRPORT OPERATIONS SUPVSR II,AVIATION,F,Salary,,92100.0,
720,POLICE OFFICER,POLICE,F,Salary,,76266.0,
721,POLICE OFFICER,POLICE,F,Salary,,84054.0,
722,POLICE OFFICER,POLICE,F,Salary,,87006.0,
723,POLICE OFFICER,POLICE,F,Salary,,72510.0,
724,PARKING ENFORCEMENT AIDE,FINANCE,F,Salary,,39924.0,
725,SERGEANT,POLICE,F,Salary,,107988.0,
726,FIRE COMMUNICATIONS OPERATOR II,OEMC,F,Salary,,99828.0,
727,WATER CHEMIST II,WATER MGMNT,F,Salary,,88152.0,
728,POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),POLICE,F,Salary,,98052.0,
729,POLICE OFFICER,POLICE,F,Salary,,87006.0,
730,POOL MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
731,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,97440.0,
732,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
733,LIEUTENANT,POLICE,F,Salary,,127692.0,
734,FIRE ENGINEER-EMT,FIRE,F,Salary,,103350.0,
735,FIRE ENGINEER,FIRE,F,Salary,,100980.0,
736,POLICE OFFICER,POLICE,F,Salary,,72510.0,
737,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
738,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,37.0
739,POLICE OFFICER,POLICE,F,Salary,,68616.0,
740,COMPLIANCE OFFICER,INSPECTOR GEN,F,Salary,,72120.0,
741,MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
742,ASST CORPORATION COUNSEL III,LAW,F,Salary,,74508.0,
743,MOTOR TRUCK DRIVER,WATER MGMNT,F,Hourly,40.0,,36.45
744,POLICE OFFICER,POLICE,F,Salary,,84054.0,
745,LIBRARY PAGE,PUBLIC LIBRARY,P,Hourly,20.0,,13.8
746,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,14.54
747,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
748,DEPUTY DIR,POLICE,F,Salary,,144204.0,
749,HEAD LIBRARY CLERK,PUBLIC LIBRARY,F,Salary,,73104.0,
750,POLICE OFFICER,POLICE,F,Salary,,90024.0,
751,POLICE OFFICER,POLICE,F,Salary,,90024.0,
752,POLICE OFFICER,POLICE,F,Salary,,84054.0,
753,MANAGER OF FLEET SERVICES,FLEET & FACILITY MANAGEMENT,F,Salary,,99516.0,
754,ACCOUNTANT III,FAMILY & SUPPORT,F,Salary,,96360.0,
755,PROJECTS ADMINISTRATOR,BUILDINGS,F,Salary,,97668.0,
756,SEWER BRICKLAYER,WATER MGMNT,F,Hourly,40.0,,46.19
757,POLICE OFFICER,POLICE,F,Salary,,87006.0,
758,CHIEF PROGRAMMER/ANALYST,DoIT,F,Salary,,133644.0,
759,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,97440.0,
760,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
761,POLICE OFFICER,POLICE,F,Salary,,93354.0,
762,CROSSING GUARD,OEMC,P,Hourly,20.0,,20.31
763,ASST DISTRICT SUPERINTENDENT,WATER MGMNT,F,Salary,,112839.96,
764,PROJECT MANAGER,AVIATION,F,Salary,,83292.0,
765,POLICE OFFICER,POLICE,F,Salary,,87006.0,
766,POLICE OFFICER,POLICE,F,Salary,,48078.0,
767,LIEUTENANT-EMT,FIRE,F,Salary,,114324.0,
768,SR PROCUREMENT SPECIALIST,PROCUREMENT,F,Salary,,100668.0,
769,TRAFFIC CONTROL AIDE-HOURLY,OEMC,P,Hourly,20.0,,19.86
770,COORDINATING ENGINEER I,TRANSPORTN,F,Salary,,108960.0,
771,LIBRARIAN I,PUBLIC LIBRARY,F,Salary,,79836.0,
772,POLICE OFFICER,POLICE,F,Salary,,87006.0,
773,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,F,Salary,,96564.0,
774,MACHINIST (AUTOMOTIVE),FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,48.38
775,POOL MOTOR TRUCK DRIVER,AVIATION,F,Hourly,40.0,,36.45
776,ASST CORPORATION COUNSEL I,LAW,F,Salary,,67908.0,
777,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,F,Hourly,40.0,,55.78
778,FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,,94476.0,
779,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
780,POLICE OFFICER,POLICE,F,Salary,,76266.0,
781,POLICE OFFICER,POLICE,F,Salary,,48078.0,
782,POLICE OFFICER,POLICE,F,Salary,,48078.0,
783,POLICE OFFICER,POLICE,F,Salary,,96060.0,
784,SUPPORT SERVICES COORD,FAMILY & SUPPORT,F,Salary,,76584.0,
785,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
786,LEGISLATIVE AIDE,CITY COUNCIL,F,Salary,,55104.0,
787,FIREFIGHTER,FIRE,F,Salary,,90024.0,
788,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
789,FIREFIGHTER-EMT,FIRE,F,Salary,,103272.0,
790,POLICE OFFICER,POLICE,F,Salary,,68616.0,
791,CAPTAIN,POLICE,F,Salary,,136170.0,
792,GENERAL LABORER - DSS,STREETS & SAN,F,Hourly,40.0,,23.05
793,POLICE OFFICER,POLICE,F,Salary,,93354.0,
794,CHIEF PERFORMANCE ANALYST,INSPECTOR GEN,F,Salary,,104712.0,
795,SENIOR BUSINESS CONSULTANT,BUSINESS AFFAIRS,F,Salary,,76164.0,
796,OPERATING ENGINEER-GROUP A,WATER MGMNT,F,Hourly,40.0,,50.71
797,CONCRETE LABORER,TRANSPORTN,F,Hourly,40.0,,42.72
798,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
799,ELECTRICAL MECHANIC,TRANSPORTN,F,Hourly,40.0,,48.35
800,POLICE OFFICER,POLICE,F,Salary,,93354.0,
801,POLICE OFFICER,POLICE,F,Salary,,68616.0,
802,SERGEANT,POLICE,F,Salary,,104628.0,
803,POLICE OFFICER,POLICE,F,Salary,,84054.0,
804,HOISTING ENGINEER,WATER MGMNT,F,Hourly,40.0,,51.1
805,FIREFIGHTER,FIRE,F,Salary,,87006.0,
806,MOTOR TRUCK DRIVER,WATER MGMNT,F,Hourly,40.0,,36.45
807,POOL MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
808,ADMINISTRATIVE ASST II,HEALTH,F,Salary,,73104.0,
809,PROJECT COORD,FAMILY & SUPPORT,F,Salary,,83628.0,
810,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,F,Salary,,47652.0,
811,SERGEANT,POLICE,F,Salary,,104628.0,
812,POLICE AGENT,POLICE,F,Salary,,98052.0,
813,FOSTER GRANDPARENT,FAMILY & SUPPORT,P,Hourly,20.0,,2.65
814,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
815,LIBRARIAN III,PUBLIC LIBRARY,F,Salary,,96360.0,
816,SERGEANT,POLICE,F,Salary,,104628.0,
817,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,14.54
818,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,15.22
819,OPERATING ENGINEER-GROUP A,WATER MGMNT,F,Hourly,40.0,,50.71
820,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
821,PUBLIC HEALTH ADMINISTRATOR III,HEALTH,F,Salary,,83172.0,
822,POLICE OFFICER,POLICE,F,Salary,,93354.0,
823,EMERGENCY CREW DISPATCHER,WATER MGMNT,F,Hourly,40.0,,42.72
824,AVIATION SECURITY OFFICER,AVIATION,F,Salary,,73992.0,
825,POLICE OFFICER,POLICE,F,Salary,,68616.0,
826,AMBULANCE COMMANDER,FIRE,F,Salary,,128970.0,
827,POLICE OFFICER,POLICE,F,Salary,,93354.0,
828,POLICE OFFICER,POLICE,F,Salary,,96060.0,
829,POLICE OFFICER,POLICE,F,Salary,,90024.0,
830,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,97440.0,
831,FIREFIGHTER-EMT,FIRE,F,Salary,,95484.0,
832,POLICE OFFICER,POLICE,F,Salary,,90024.0,
833,POLICE OFFICER,POLICE,F,Salary,,87006.0,
834,POLICE OFFICER,POLICE,F,Salary,,72510.0,
835,POLICE OFFICER,POLICE,F,Salary,,96060.0,
836,POLICE OFFICER,POLICE,F,Salary,,68616.0,
837,POLICE OFFICER,POLICE,F,Salary,,76266.0,
