,Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
615,Suzuki,Used,CNG,1.0,Mehran VX,300000,Karachi,Cash,2006.0
616,Nissan,Used,Diesel,54321.0,Sunny,170000,Karachi,Cash,1993.0
617,Daihatsu,Used,Petrol,160000.0,Mira,750000,Karachi,Cash,2008.0
618,Suzuki,Used,CNG,85000.0,Alto,380000,Karachi,Cash,2006.0
619,Daihatsu,Used,Petrol,49000.0,Mira,830000,Karachi,Cash,2013.0
620,Daihatsu,Used,CNG,9999.0,Charade,210000,Karachi,Cash,1986.0
621,Chevrolet,Used,Petrol,1.0,Joy,410000,Karachi,Cash,2009.0
622,Honda,Used,Petrol,48000.0,City IVTEC,1425000,Karachi,Cash,2012.0
623,Toyota,Used,Petrol,400000.0,Corolla XLI,880000,Karachi,Cash,2005.0
624,Toyota,New,Petrol,19000.0,Corolla GLI,1975000,Karachi,Cash,2016.0
625,Toyota,New,Petrol,51000.0,Vitz,995000,Karachi,Cash,2010.0
626,Toyota,Used,Petrol,56000.0,Corolla GLI,1750000,Karachi,Cash,2015.0
627,Toyota,Used,CNG,120000.0,Corrolla Altis,865000,Karachi,Cash,2003.0
628,Toyota,Used,Petrol,88000.0,Corolla XLI,848000,Karachi,Cash,2006.0
629,Suzuki,Used,CNG,78000.0,Cultus VXR,565000,Karachi,Cash,2007.0
630,Suzuki,New,CNG,620000.0,Mehran VX,375000,Karachi,Cash,2010.0
631,Honda,Used,Petrol,150000.0,Civic VTi,950000,Karachi,Cash,2008.0
632,Mercedes,Used,Petrol,100000.0,240 Gd,480000,Karachi,Cash,1991.0
633,Suzuki,Used,Petrol,78000.0,Cultus VXR,550000,Karachi,Cash,2008.0
634,Suzuki,Used,CNG,52000.0,Alto,525000,Karachi,Cash,2012.0
635,Daihatsu,Used,Petrol,68000.0,Mira Cocoa,750000,Karachi,Cash,2008.0
636,Suzuki,Used,Petrol,82000.0,Cultus VXL,570000,Karachi,Cash,2006.0
637,Suzuki,Used,Petrol,99685.0,Mehran VXR,425000,Karachi,Cash,2012.0
638,Daihatsu,Used,Petrol,72000.0,Terios Kid,1149000,Karachi,Cash,2010.0
639,Daihatsu,Used,Petrol,10000.0,Mira,990000,Karachi,Cash,2015.0
640,Suzuki,Used,CNG,7655.0,Cultus VXL,535000,Karachi,Cash,2006.0
641,Suzuki,Used,Petrol,110698.0,Cultus VXR,785000,Karachi,Cash,2012.0
642,Honda,Used,Petrol,786.0,Civic VTi,600000,Karachi,Cash,1998.0
643,Suzuki,Used,Petrol,21600.0,Mehran VXR,745000,Karachi,Cash,2017.0
644,Toyota,Used,Petrol,61.0,Corolla XLI,1340000,Karachi,Cash,2013.0
645,Suzuki,Used,CNG,250000.0,Khyber,220000,Karachi,Cash,1991.0
646,Honda,Used,Petrol,100000.0,City Vario,850000,Karachi,Cash,2006.0
647,Suzuki,Used,CNG,1.0,Cultus VXR,480000,Karachi,Cash,2007.0
648,Honda,Used,CNG,123654.0,City IVTEC,635000,Karachi,Cash,2005.0
649,Toyota,Used,Petrol,65000.0,Corrolla Altis,1625000,Karachi,Cash,2013.0
650,Honda,Used,CNG,1.0,Civic EXi,550000,Karachi,Cash,2001.0
651,Nissan,Used,Petrol,119000.0,Wingroad,1150000,Karachi,Cash,2007.0
652,Suzuki,Used,Petrol,57000.0,Every,725000,Karachi,Cash,2014.0
653,Suzuki,Used,Petrol,43000.0,Wagon R,1175000,Karachi,Cash,2016.0
654,Daihatsu,Used,Petrol,15000.0,Charade,125000,Karachi,Cash,1985.0
655,Toyota,New,Petrol,87000.0,Corolla GLI,1300000,Karachi,Cash,2011.0
656,Suzuki,New,CNG,65000.0,Cultus VXR,745000,Karachi,Cash,2013.0
657,Honda,Used,Petrol,26000.0,City IVTEC,1650000,Karachi,Cash,2016.0
658,Suzuki,Used,Petrol,40000.0,Mehran VX,460000,Karachi,Cash,2012.0
659,Toyota,Used,Petrol,88000.0,Premio,1275000,Karachi,Cash,2007.0
